,P_Econ_FEDFUNDS
2010/1/1,0.204189405
2010/2/1,0.2070004
2010/3/1,0.209563395
2010/4/1,0.212427847
2010/5/1,0.214499206
2010/6/1,0.21665578
2010/7/1,0.218756913
2010/8/1,0.221005983
2010/9/1,0.22327197
2010/10/1,0.225480577
2010/11/1,0.226053743
2010/12/1,0.226609808
2011/1/1,0.22718541
2011/2/1,0.230088325
2011/3/1,0.232733037
2011/4/1,0.235686473
2011/5/1,0.23693024
2011/6/1,0.238219777
2011/7/1,0.239473147
2011/8/1,0.242251267
2011/9/1,0.245053375
2011/10/1,0.247785455
2011/11/1,0.251098418
2011/12/1,0.254333286
2012/1/1,0.257703803
2012/2/1,0.259798051
2012/3/1,0.261766652
2012/4/1,0.26388263
2012/5/1,0.265554273
2012/6/1,0.267289661
2012/7/1,0.268975912
2012/8/1,0.270529667
2012/9/1,0.272087221
2012/10/1,0.273599391
2012/11/1,0.277149958
2012/12/1,0.280612909
2013/1/1,0.284219823
2013/2/1,0.285528936
2013/3/1,0.28671537
2013/4/1,0.288031352
2013/5/1,0.291575076
2013/6/1,0.295262708
2013/7/1,0.298856112
2013/8/1,0.302770058
2013/9/1,0.306712347
2013/10/1,0.310554069
2013/11/1,0.310650233
2013/12/1,0.310742333
2014/1/1,0.310839025
2014/2/1,0.316352802
2014/3/1,0.321377309
2014/4/1,0.326988813
2014/5/1,0.331812695
2014/6/1,0.336834209
2014/7/1,0.341730108
2014/8/1,0.343627934
2014/9/1,0.345530769
2014/10/1,0.347376944
2014/11/1,0.350064025
2014/12/1,0.352671933
2015/1/1,0.3553782
2015/2/1,0.359344182
2015/3/1,0.362942972
2015/4/1,0.366944781
2015/5/1,0.369110733
2015/6/1,0.371353896
2015/7/1,0.373530518
2015/8/1,0.374142784
2015/9/1,0.374755996
2015/10/1,0.375350898
2015/11/1,0.377015425
2015/12/1,0.37862248
2016/1/1,0.380287219
2016/2/1,0.38374877
2016/3/1,0.387000861
2016/4/1,0.390486671
2016/5/1,0.39378309
2016/6/1,0.39719902
2016/7/1,0.400514312
2016/8/1,0.404209598
2016/9/1,0.40791634
2016/10/1,0.411513518
2016/11/1,0.415125521
2016/12/1,0.418622929
2017/1/1,0.422246903
2017/2/1,0.425338306
2017/3/1,0.428128708
2017/4/1,0.431225346
2017/5/1,0.435991685
2017/6/1,0.440922508
2017/7/1,0.44570631
2017/8/1,0.452363772
2017/9/1,0.459039475
2017/10/1,0.465513327
2017/11/1,0.471182266
2017/12/1,0.476667901
2018/1/1,0.482344302
2018/2/1,0.487377226
2018/3/1,0.491920631
2018/4/1,0.496947697
2018/5/1,0.501109135
2018/6/1,0.505402764
2018/7/1,0.50955865
2018/8/1,0.511884353
2018/9/1,0.514207226
2018/10/1,0.51644293
2018/11/1,0.520220905
2018/12/1,0.523871325
2019/1/1,0.527637411
2019/2/1,0.533332629
2019/3/1,0.538468706
2019/4/1,0.544145582
2019/5/1,0.550192831
2019/6/1,0.556424888
2019/7/1,0.562437378
2019/8/1,0.566601919
2019/9/1,0.570746849
2019/10/1,0.574755617
2019/11/1,0.570841987
2019/12/1,0.567030722
2020/1/1,0.563084069
2020/2/1,0.528003913
2020/3/1,0.49498331
2020/4/1,0.459718361
2020/5/1,0.49305318
2020/6/1,0.527558959
2020/7/1,0.560707228
2020/8/1,0.568085884
2020/9/1,0.575435581
2020/10/1,0.582516058
2020/11/1,0.593643447
2020/12/1,0.604321249
2021/1/1,0.615251323
2021/2/1,0.628621254
2021/3/1,0.640531002
2021/4/1,0.653516657
2021/5/1,0.663026872
2021/6/1,0.672715715
2021/7/1,0.681953908
2021/8/1,0.696263001
2021/9/1,0.710201893
2021/10/1,0.723323426
2021/11/1,0.730125551
2021/12/1,0.736606975
2022/1/1,0.743198468
2022/2/1,0.752091682
2022/3/1,0.75993974
2022/4/1,0.768428471
2022/5/1,0.774690872
2022/6/1,0.781035426
2022/7/1,0.787050209
2022/8/1,0.793015303
2022/9/1,0.798871653
2022/10/1,0.804409344
2022/11/1,0.809616538
2022/12/1,0.814566679
2023/1/1,0.819580226
2023/2/1,0.822964903
2023/3/1,0.825983572
2023/4/1,0.829275115
2023/5/1,0.834756811
2023/6/1,0.840278769
2023/7/1,0.845478747
2023/8/1,0.848803273
2023/9/1,0.852074923
2023/10/1,0.855185118
2023/11/1,0.858321128
2023/12/1,0.861301789
2024/1/1,0.864326355
2024/2/1,0.86792198
2024/3/1,0.871212172
2024/4/1,0.874651774
2024/5/1,0.877622718
2024/6/1,0.880628831
2024/7/1,0.883476982
2024/8/1,0.886220893
2024/9/1,0.888912893
2024/10/1,0.891467212
2024/11/1,0.891471473
2024/12/1,0.891475062
